,LRP,source_gene,target_gene
1,0.018110514,ID2,ID1
2,0.01833458,ID3,ID1
3,0.0070355562,ID4,ID1
4,0.02640328,JUN,ID1
9,0.009215601,RPS27,ID1
10,0.01183844,RPL10,ID1
14,0.036068365,ID3,ID2
15,0.02048857,ID4,ID2
16,0.016141862,JUN,ID2
21,0.033143736,RPS27,ID2
22,0.02425155,RPL10,ID2
27,0.038349237,ID4,ID3
28,0.015339754,JUN,ID3
33,0.032644518,RPS27,ID3
34,0.024142276,RPL10,ID3
40,0.011309198,JUN,ID4
45,0.02399309,RPS27,ID4
46,0.0023320727,RPL10,ID4
57,0.0115830945,RPS27,JUN
58,0.004494888,RPL10,JUN
60,0.047967784,ID1,FOS
61,0.027637389,ID2,FOS
62,0.037991427,ID3,FOS
63,0.017819157,ID4,FOS
64,0.047940522,JUN,FOS
66,0.052398045,FOSB,FOS
67,0.05449473,HSPA5,FOS
68,0.019407123,HSP90B1,FOS
69,0.033046804,RPS27,FOS
70,0.0016380624,RPL10,FOS
72,0.022287972,ID1,FOSB
73,0.032485984,ID2,FOSB
74,0.017245375,ID3,FOSB
75,0.0064891246,ID4,FOSB
76,0.02888466,JUN,FOSB
79,0.04417067,HSPA5,FOSB
80,0.008907576,HSP90B1,FOSB
81,0.02243675,RPS27,FOSB
82,0.0056322645,RPL10,FOSB
84,0.012689866,ID1,HSPA5
85,0.026438288,ID2,HSPA5
86,0.039160967,ID3,HSPA5
87,0.022237891,ID4,HSPA5
88,0.0046081464,JUN,HSPA5
93,0.01624418,RPS27,HSPA5
94,0.010179059,RPL10,HSPA5
96,0.0065711928,ID1,HSP90B1
97,0.017003287,ID2,HSP90B1
98,0.010044054,ID3,HSP90B1
99,0.01034604,ID4,HSP90B1
100,0.0016445045,JUN,HSP90B1
103,0.009309523,HSPA5,HSP90B1
105,0.012000282,RPS27,HSP90B1
106,0.014836643,RPL10,HSP90B1
129,0.02179195,RPS27,RPL10
132,0.010958429,ID1,EEF1A1
133,0.012529142,ID2,EEF1A1
134,0.008016235,ID3,EEF1A1
135,0.009322593,ID4,EEF1A1
136,0.010969787,JUN,EEF1A1
137,0.019754581,FOS,EEF1A1
138,0.007584753,FOSB,EEF1A1
139,0.010487883,HSPA5,EEF1A1
140,0.0144672915,HSP90B1,EEF1A1
141,0.01844234,RPS27,EEF1A1
142,0.008671783,RPL10,EEF1A1
