,LRP,source_gene,target_gene
1,0.028718604,ID2,ID1
2,0.03176897,ID3,ID1
3,0.013105041,ID4,ID1
4,0.007973143,JUN,ID1
9,0.0129428245,RPS27,ID1
10,0.0096916435,RPL10,ID1
14,0.021723334,ID3,ID2
15,0.0069234925,ID4,ID2
16,0.014752952,JUN,ID2
21,0.013372212,RPS27,ID2
22,0.008160206,RPL10,ID2
27,0.01867509,ID4,ID3
28,0.0063564796,JUN,ID3
33,0.010222615,RPS27,ID3
34,0.003260252,RPL10,ID3
40,0.014131846,JUN,ID4
45,0.007442766,RPS27,ID4
46,0.0102686975,RPL10,ID4
57,0.022665225,RPS27,JUN
58,0.010622904,RPL10,JUN
60,0.044784795,ID1,FOS
61,0.00872364,ID2,FOS
62,0.016270528,ID3,FOS
63,0.017384812,ID4,FOS
64,0.042969108,JUN,FOS
66,0.02796615,FOSB,FOS
67,0.031808883,HSPA5,FOS
68,0.026408082,HSP90B1,FOS
69,0.014111114,RPS27,FOS
70,0.006384741,RPL10,FOS
72,0.00409656,ID1,FOSB
73,0.012968712,ID2,FOSB
74,0.008866894,ID3,FOSB
75,0.007991738,ID4,FOSB
76,0.020899279,JUN,FOSB
79,0.010147008,HSPA5,FOSB
80,0.009243388,HSP90B1,FOSB
81,0.0077468953,RPS27,FOSB
82,0.009688677,RPL10,FOSB
84,0.012539757,ID1,HSPA5
85,0.03961826,ID2,HSPA5
86,0.035340264,ID3,HSPA5
87,0.010073828,ID4,HSPA5
88,0.0035206105,JUN,HSPA5
93,0.01978668,RPS27,HSPA5
94,0.003730734,RPL10,HSPA5
96,0.026446609,ID1,HSP90B1
97,0.007848722,ID2,HSP90B1
98,0.0029989753,ID3,HSP90B1
99,0.012877754,ID4,HSP90B1
100,0.0271304,JUN,HSP90B1
103,0.0334861,HSPA5,HSP90B1
105,0.0070586638,RPS27,HSP90B1
106,0.0041727815,RPL10,HSP90B1
129,0.015735677,RPS27,RPL10
132,0.005660353,ID1,EEF1A1
133,0.0059777535,ID2,EEF1A1
134,0.017528042,ID3,EEF1A1
135,0.010780302,ID4,EEF1A1
136,0.007203633,JUN,EEF1A1
137,0.017276946,FOS,EEF1A1
138,0.021413824,FOSB,EEF1A1
139,0.014636911,HSPA5,EEF1A1
140,0.010600726,HSP90B1,EEF1A1
141,0.012685541,RPS27,EEF1A1
142,0.0054484652,RPL10,EEF1A1
