,LRP,source_gene,target_gene
1,0.015946062,ID2,ID1
2,0.012955342,ID3,ID1
3,0.01025691,ID4,ID1
4,0.021998234,JUN,ID1
9,0.006913405,RPS27,ID1
10,0.004710242,RPL10,ID1
14,0.015417164,ID3,ID2
15,0.030661669,ID4,ID2
16,0.017633546,JUN,ID2
21,0.0027072579,RPS27,ID2
22,0.01330234,RPL10,ID2
27,0.014075581,ID4,ID3
28,0.031703353,JUN,ID3
33,0.014193352,RPS27,ID3
34,0.02511516,RPL10,ID3
40,0.012101702,JUN,ID4
45,0.006240977,RPS27,ID4
46,0.011652277,RPL10,ID4
57,0.016491888,RPS27,JUN
58,0.016704818,RPL10,JUN
60,0.008040286,ID1,FOS
61,0.023715291,ID2,FOS
62,0.014084569,ID3,FOS
63,0.010027472,ID4,FOS
64,0.03745986,JUN,FOS
66,0.0164945,FOSB,FOS
67,0.020203121,HSPA5,FOS
68,0.011281652,HSP90B1,FOS
69,0.009569302,RPS27,FOS
70,0.008694776,RPL10,FOS
72,0.0038797683,ID1,FOSB
73,0.024039432,ID2,FOSB
74,0.0066091083,ID3,FOSB
75,0.013826195,ID4,FOSB
76,0.037680928,JUN,FOSB
79,0.017990654,HSPA5,FOSB
80,0.011898477,HSP90B1,FOSB
81,0.011189037,RPS27,FOSB
82,0.009432901,RPL10,FOSB
84,0.012545745,ID1,HSPA5
85,0.0059900647,ID2,HSPA5
86,0.023220278,ID3,HSPA5
87,0.0032621154,ID4,HSPA5
88,0.005606151,JUN,HSPA5
93,0.005083081,RPS27,HSPA5
94,0.003181212,RPL10,HSPA5
96,0.0008034497,ID1,HSP90B1
97,0.008693632,ID2,HSP90B1
98,0.015362779,ID3,HSP90B1
99,0.01324877,ID4,HSP90B1
100,0.028170682,JUN,HSP90B1
103,0.015447529,HSPA5,HSP90B1
105,0.011677019,RPS27,HSP90B1
106,0.019894065,RPL10,HSP90B1
129,0.007080961,RPS27,RPL10
132,0.02124035,ID1,EEF1A1
133,0.019981995,ID2,EEF1A1
134,0.015374487,ID3,EEF1A1
135,0.006192634,ID4,EEF1A1
136,0.008894818,JUN,EEF1A1
137,0.017263649,FOS,EEF1A1
138,0.028247122,FOSB,EEF1A1
139,0.027620422,HSPA5,EEF1A1
140,0.008405231,HSP90B1,EEF1A1
141,0.00933376,RPS27,EEF1A1
142,0.01443424,RPL10,EEF1A1
