,LRP,source_gene,target_gene
1,0.020457871,ID2,ID1
2,0.018389028,ID3,ID1
3,0.009351203,ID4,ID1
4,0.06483136,JUN,ID1
9,0.011731917,RPS27,ID1
10,0.013632934,RPL10,ID1
14,0.043296058,ID3,ID2
15,0.03024718,ID4,ID2
16,0.054739323,JUN,ID2
21,0.012191644,RPS27,ID2
22,0.01558367,RPL10,ID2
27,0.036450464,ID4,ID3
28,0.05834178,JUN,ID3
33,0.018536516,RPS27,ID3
34,0.025983112,RPL10,ID3
40,0.08421972,JUN,ID4
45,0.023755372,RPS27,ID4
46,0.011681886,RPL10,ID4
57,0.027081484,RPS27,JUN
58,0.048066504,RPL10,JUN
60,0.027819451,ID1,FOS
61,0.024150183,ID2,FOS
62,0.025356025,ID3,FOS
63,0.027310837,ID4,FOS
64,0.11303808,JUN,FOS
66,0.024884455,FOSB,FOS
67,0.0116282385,HSPA5,FOS
68,0.0033322016,HSP90B1,FOS
69,0.03991411,RPS27,FOS
70,0.015413633,RPL10,FOS
72,0.017343126,ID1,FOSB
73,0.022904582,ID2,FOSB
74,0.016829839,ID3,FOSB
75,0.0102694975,ID4,FOSB
76,0.07857054,JUN,FOSB
79,0.0079417,HSPA5,FOSB
80,0.06373352,HSP90B1,FOSB
81,0.025188522,RPS27,FOSB
82,0.018531697,RPL10,FOSB
84,0.008709174,ID1,HSPA5
85,0.019023517,ID2,HSPA5
86,0.018812027,ID3,HSPA5
87,0.01086964,ID4,HSPA5
88,0.01094252,JUN,HSPA5
93,0.016298207,RPS27,HSPA5
94,0.008260677,RPL10,HSPA5
96,0.012776049,ID1,HSP90B1
97,0.02842372,ID2,HSP90B1
98,0.04598157,ID3,HSP90B1
99,0.007676848,ID4,HSP90B1
100,0.08214586,JUN,HSP90B1
103,0.023413658,HSPA5,HSP90B1
105,0.019588884,RPS27,HSP90B1
106,0.033225633,RPL10,HSP90B1
129,0.013915712,RPS27,RPL10
132,0.017576624,ID1,EEF1A1
133,0.011650678,ID2,EEF1A1
134,0.012648246,ID3,EEF1A1
135,0.0067604207,ID4,EEF1A1
136,0.048327718,JUN,EEF1A1
137,0.011720955,FOS,EEF1A1
138,0.007651919,FOSB,EEF1A1
139,0.0071935533,HSPA5,EEF1A1
140,0.044044506,HSP90B1,EEF1A1
141,0.0019621612,RPS27,EEF1A1
142,0.015856817,RPL10,EEF1A1
