,LRP,source_gene,target_gene
1,0.026735112,ID2,ID1
2,0.1874857,ID3,ID1
3,0.020974964,ID4,ID1
4,0.01543174,JUN,ID1
9,0.019665712,RPS27,ID1
10,0.012783447,RPL10,ID1
14,0.026880499,ID3,ID2
15,0.026931608,ID4,ID2
16,0.042892694,JUN,ID2
21,0.014908511,RPS27,ID2
22,0.044560816,RPL10,ID2
27,0.04473903,ID4,ID3
28,0.14142723,JUN,ID3
33,0.03712447,RPS27,ID3
34,0.06764379,RPL10,ID3
40,0.008588057,JUN,ID4
45,0.021604318,RPS27,ID4
46,0.018781595,RPL10,ID4
57,0.013907857,RPS27,JUN
58,0.071648546,RPL10,JUN
60,0.08085865,ID1,FOS
61,0.04496943,ID2,FOS
62,0.035976823,ID3,FOS
63,0.03405065,ID4,FOS
64,0.09905684,JUN,FOS
66,0.083311245,FOSB,FOS
67,0.024626724,HSPA5,FOS
68,0.018313354,HSP90B1,FOS
69,0.020507352,RPS27,FOS
70,0.016166374,RPL10,FOS
72,0.017275896,ID1,FOSB
73,0.03396985,ID2,FOSB
74,0.06534689,ID3,FOSB
75,0.008269022,ID4,FOSB
76,0.023105685,JUN,FOSB
79,0.01363251,HSPA5,FOSB
80,0.00987524,HSP90B1,FOSB
81,0.025377894,RPS27,FOSB
82,0.050672594,RPL10,FOSB
84,0.023203295,ID1,HSPA5
85,0.0199993,ID2,HSPA5
86,0.14741296,ID3,HSPA5
87,0.016894108,ID4,HSPA5
88,0.03246655,JUN,HSPA5
93,0.034895934,RPS27,HSPA5
94,0.03027273,RPL10,HSPA5
96,0.008197141,ID1,HSP90B1
97,0.017682724,ID2,HSP90B1
98,0.06896464,ID3,HSP90B1
99,0.019175507,ID4,HSP90B1
100,0.010511131,JUN,HSP90B1
103,0.040241394,HSPA5,HSP90B1
105,0.010835859,RPS27,HSP90B1
106,0.034754086,RPL10,HSP90B1
129,0.058523387,RPS27,RPL10
132,0.021016188,ID1,EEF1A1
133,0.012214949,ID2,EEF1A1
134,0.12950549,ID3,EEF1A1
135,0.0418735,ID4,EEF1A1
136,0.03212082,JUN,EEF1A1
137,0.060364414,FOS,EEF1A1
138,0.0575075,FOSB,EEF1A1
139,0.011120704,HSPA5,EEF1A1
140,0.035930097,HSP90B1,EEF1A1
141,0.03567871,RPS27,EEF1A1
142,0.04381311,RPL10,EEF1A1
