,LRP,source_gene,target_gene
1,0.01593273,ID2,ID1
2,0.018175509,ID3,ID1
3,0.0036700882,ID4,ID1
4,0.02971707,JUN,ID1
9,0.015338976,RPS27,ID1
10,0.009029041,RPL10,ID1
14,0.03629925,ID3,ID2
15,0.030965699,ID4,ID2
16,0.05377754,JUN,ID2
21,0.017213214,RPS27,ID2
22,0.029393941,RPL10,ID2
27,0.024348192,ID4,ID3
28,0.05786406,JUN,ID3
33,0.019382803,RPS27,ID3
34,0.015983917,RPL10,ID3
40,0.0474115,JUN,ID4
45,0.022887135,RPS27,ID4
46,0.009709138,RPL10,ID4
57,0.023178894,RPS27,JUN
58,0.041367058,RPL10,JUN
60,0.024884604,ID1,FOS
61,0.033236247,ID2,FOS
62,0.029216645,ID3,FOS
63,0.023949353,ID4,FOS
64,0.11363569,JUN,FOS
66,0.053076964,FOSB,FOS
67,0.031898644,HSPA5,FOS
68,0.020441335,HSP90B1,FOS
69,0.035285443,RPS27,FOS
70,0.0067929984,RPL10,FOS
72,0.026201975,ID1,FOSB
73,0.036845267,ID2,FOSB
74,0.01549257,ID3,FOSB
75,0.01944314,ID4,FOSB
76,0.11638798,JUN,FOSB
79,0.025281612,HSPA5,FOSB
80,0.010474269,HSP90B1,FOSB
81,0.028267086,RPS27,FOSB
82,0.014479805,RPL10,FOSB
84,0.028145898,ID1,HSPA5
85,0.022896744,ID2,HSPA5
86,0.025750004,ID3,HSPA5
87,0.012358884,ID4,HSPA5
88,0.007186936,JUN,HSPA5
93,0.007113062,RPS27,HSPA5
94,0.0033265231,RPL10,HSPA5
96,0.010253147,ID1,HSP90B1
97,0.011318534,ID2,HSP90B1
98,0.020349089,ID3,HSP90B1
99,0.01789884,ID4,HSP90B1
100,0.0447953,JUN,HSP90B1
103,0.014909479,HSPA5,HSP90B1
105,0.00093700626,RPS27,HSP90B1
106,0.025128629,RPL10,HSP90B1
129,0.015255129,RPS27,RPL10
132,0.012893518,ID1,EEF1A1
133,0.020479804,ID2,EEF1A1
134,0.011858687,ID3,EEF1A1
135,0.010390379,ID4,EEF1A1
136,0.008332867,JUN,EEF1A1
137,0.011032724,FOS,EEF1A1
138,0.0052188574,FOSB,EEF1A1
139,0.014569156,HSPA5,EEF1A1
140,0.0065455628,HSP90B1,EEF1A1
141,0.013599773,RPS27,EEF1A1
142,0.015253774,RPL10,EEF1A1
