,LRP,source_gene,target_gene
1,0.035042476,ID2,ID1
2,0.007611377,ID3,ID1
3,0.02336836,ID4,ID1
4,0.023323819,JUN,ID1
9,0.013953796,RPS27,ID1
10,0.014651961,RPL10,ID1
14,0.04393673,ID3,ID2
15,0.05028021,ID4,ID2
16,0.03316859,JUN,ID2
21,0.03697125,RPS27,ID2
22,0.033084664,RPL10,ID2
27,0.02709541,ID4,ID3
28,0.031243209,JUN,ID3
33,0.025286164,RPS27,ID3
34,0.024796879,RPL10,ID3
40,0.023257552,JUN,ID4
45,0.022461716,RPS27,ID4
46,0.011768758,RPL10,ID4
57,0.0072089327,RPS27,JUN
58,0.0010792566,RPL10,JUN
60,0.0131966695,ID1,FOS
61,0.09801648,ID2,FOS
62,0.018876988,ID3,FOS
63,0.011252003,ID4,FOS
64,0.043677226,JUN,FOS
66,0.012548856,FOSB,FOS
67,0.0039593475,HSPA5,FOS
68,0.014504777,HSP90B1,FOS
69,0.023283005,RPS27,FOS
70,0.021256443,RPL10,FOS
72,0.012392075,ID1,FOSB
73,0.044549663,ID2,FOSB
74,0.015348095,ID3,FOSB
75,0.01977056,ID4,FOSB
76,0.030055884,JUN,FOSB
79,0.00796894,HSPA5,FOSB
80,0.011052504,HSP90B1,FOSB
81,0.011391251,RPS27,FOSB
82,0.024926983,RPL10,FOSB
84,0.013275646,ID1,HSPA5
85,0.023964781,ID2,HSPA5
86,0.033500545,ID3,HSPA5
87,0.0091081355,ID4,HSPA5
88,0.028599136,JUN,HSPA5
93,0.017625201,RPS27,HSPA5
94,0.036079846,RPL10,HSPA5
96,0.008861881,ID1,HSP90B1
97,0.019228436,ID2,HSP90B1
98,0.015754463,ID3,HSP90B1
99,0.013748322,ID4,HSP90B1
100,0.009585743,JUN,HSP90B1
103,0.009091575,HSPA5,HSP90B1
105,0.0028532916,RPS27,HSP90B1
106,0.014584604,RPL10,HSP90B1
129,0.03137888,RPS27,RPL10
132,0.02138904,ID1,EEF1A1
133,0.0026479966,ID2,EEF1A1
134,0.008522861,ID3,EEF1A1
135,0.019895982,ID4,EEF1A1
136,0.023299538,JUN,EEF1A1
137,0.01668151,FOS,EEF1A1
138,0.015011504,FOSB,EEF1A1
139,0.01898319,HSPA5,EEF1A1
140,0.023659894,HSP90B1,EEF1A1
141,0.053503327,RPS27,EEF1A1
142,0.037800193,RPL10,EEF1A1
