,LRP,source_gene,target_gene
1,0.03948108,ID2,ID1
2,0.016226675,ID3,ID1
3,0.0060013602,ID4,ID1
4,0.034213867,JUN,ID1
9,0.025811868,RPS27,ID1
10,0.0023982131,RPL10,ID1
14,0.021305151,ID3,ID2
15,0.027670002,ID4,ID2
16,0.036490068,JUN,ID2
21,0.08491192,RPS27,ID2
22,0.027313372,RPL10,ID2
27,0.008847527,ID4,ID3
28,0.021349367,JUN,ID3
33,0.034644835,RPS27,ID3
34,0.015554938,RPL10,ID3
40,0.04249387,JUN,ID4
45,0.009096276,RPS27,ID4
46,0.007237211,RPL10,ID4
57,0.12041051,RPS27,JUN
58,0.011721272,RPL10,JUN
60,0.011515529,ID1,FOS
61,0.022564674,ID2,FOS
62,0.012038341,ID3,FOS
63,0.0059083533,ID4,FOS
64,0.023464844,JUN,FOS
66,0.008647136,FOSB,FOS
67,0.014382648,HSPA5,FOS
68,0.010966843,HSP90B1,FOS
69,0.03860332,RPS27,FOS
70,0.014549529,RPL10,FOS
72,0.0015611536,ID1,FOSB
73,0.04068122,ID2,FOSB
74,0.012095531,ID3,FOSB
75,0.010643418,ID4,FOSB
76,0.026253201,JUN,FOSB
79,0.012139972,HSPA5,FOSB
80,0.014775972,HSP90B1,FOSB
81,0.03347828,RPS27,FOSB
82,0.022206629,RPL10,FOSB
84,0.010569594,ID1,HSPA5
85,0.022624874,ID2,HSPA5
86,0.060513847,ID3,HSPA5
87,0.006416013,ID4,HSPA5
88,0.014032651,JUN,HSPA5
93,0.05170528,RPS27,HSPA5
94,0.009820539,RPL10,HSPA5
96,0.0104047395,ID1,HSP90B1
97,0.017133882,ID2,HSP90B1
98,0.02959417,ID3,HSP90B1
99,0.022004139,ID4,HSP90B1
100,0.035614252,JUN,HSP90B1
103,0.010459861,HSPA5,HSP90B1
105,0.009650785,RPS27,HSP90B1
106,0.013980307,RPL10,HSP90B1
129,0.059826724,RPS27,RPL10
132,0.004137151,ID1,EEF1A1
133,0.0395144,ID2,EEF1A1
134,0.014576107,ID3,EEF1A1
135,0.018352479,ID4,EEF1A1
136,0.031858332,JUN,EEF1A1
137,0.009264392,FOS,EEF1A1
138,0.01453772,FOSB,EEF1A1
139,0.012506944,HSPA5,EEF1A1
140,0.016700508,HSP90B1,EEF1A1
141,0.031318203,RPS27,EEF1A1
142,0.017736716,RPL10,EEF1A1
