,LRP,source_gene,target_gene
1,0.014076512,ID2,ID1
2,0.016241072,ID3,ID1
3,0.0031965473,ID4,ID1
4,0.023174895,JUN,ID1
9,0.0037313048,RPS27,ID1
10,0.030703975,RPL10,ID1
14,0.02928948,ID3,ID2
15,0.034021467,ID4,ID2
16,0.033499133,JUN,ID2
21,0.007356885,RPS27,ID2
22,0.03143318,RPL10,ID2
27,0.03442552,ID4,ID3
28,0.02472613,JUN,ID3
33,0.006978713,RPS27,ID3
34,0.029115424,RPL10,ID3
40,0.013384618,JUN,ID4
45,0.013854492,RPS27,ID4
46,0.0039267475,RPL10,ID4
57,0.020308938,RPS27,JUN
58,0.015928509,RPL10,JUN
60,0.060878426,ID1,FOS
61,0.041956138,ID2,FOS
62,0.018554233,ID3,FOS
63,0.01875375,ID4,FOS
64,0.07090782,JUN,FOS
66,0.033797696,FOSB,FOS
67,0.01911113,HSPA5,FOS
68,0.013871787,HSP90B1,FOS
69,0.021472225,RPS27,FOS
70,0.026360713,RPL10,FOS
72,0.016452625,ID1,FOSB
73,0.035827223,ID2,FOSB
74,0.028387256,ID3,FOSB
75,0.012314307,ID4,FOSB
76,0.02106729,JUN,FOSB
79,0.020791585,HSPA5,FOSB
80,0.008643308,HSP90B1,FOSB
81,0.005855776,RPS27,FOSB
82,0.026562423,RPL10,FOSB
84,0.020787721,ID1,HSPA5
85,0.017737601,ID2,HSPA5
86,0.032871418,ID3,HSPA5
87,0.021202926,ID4,HSPA5
88,0.018736767,JUN,HSPA5
93,0.014335986,RPS27,HSPA5
94,0.038567595,RPL10,HSPA5
96,0.018701188,ID1,HSP90B1
97,0.0022265273,ID2,HSP90B1
98,0.01489237,ID3,HSP90B1
99,0.007910087,ID4,HSP90B1
100,0.021231236,JUN,HSP90B1
103,0.026811678,HSPA5,HSP90B1
105,0.010782116,RPS27,HSP90B1
106,0.035970453,RPL10,HSP90B1
129,0.025953485,RPS27,RPL10
132,0.003841184,ID1,EEF1A1
133,0.025353666,ID2,EEF1A1
134,0.011941062,ID3,EEF1A1
135,0.013515287,ID4,EEF1A1
136,0.01158167,JUN,EEF1A1
137,0.017240545,FOS,EEF1A1
138,0.025711894,FOSB,EEF1A1
139,0.0454691,HSPA5,EEF1A1
140,0.027595192,HSP90B1,EEF1A1
141,0.014163348,RPS27,EEF1A1
142,0.03852676,RPL10,EEF1A1
