,LRP,source_gene,target_gene
1,0.0054008,ID2,ID1
2,0.016933603,ID3,ID1
3,0.0024038702,ID4,ID1
4,0.019864557,JUN,ID1
9,0.023250945,RPS27,ID1
10,0.0034912564,RPL10,ID1
14,0.017132139,ID3,ID2
15,0.028073408,ID4,ID2
16,0.022177426,JUN,ID2
21,0.016066927,RPS27,ID2
22,0.0016964428,RPL10,ID2
27,0.013679471,ID4,ID3
28,0.030602874,JUN,ID3
33,0.022602897,RPS27,ID3
34,0.006317273,RPL10,ID3
40,0.018319828,JUN,ID4
45,0.018442182,RPS27,ID4
46,0.019373918,RPL10,ID4
57,0.10255372,RPS27,JUN
58,0.0118593285,RPL10,JUN
60,0.010273067,ID1,FOS
61,0.0050698165,ID2,FOS
62,0.0050458657,ID3,FOS
63,0.0074974215,ID4,FOS
64,0.008544131,JUN,FOS
66,0.0014899952,FOSB,FOS
67,0.00718465,HSPA5,FOS
68,0.004924077,HSP90B1,FOS
69,0.017010601,RPS27,FOS
70,0.010532823,RPL10,FOS
72,0.006127057,ID1,FOSB
73,0.013742144,ID2,FOSB
74,0.014178469,ID3,FOSB
75,0.014132269,ID4,FOSB
76,0.019155405,JUN,FOSB
79,0.012192067,HSPA5,FOSB
80,0.005971828,HSP90B1,FOSB
81,0.040455412,RPS27,FOSB
82,0.013123626,RPL10,FOSB
84,0.021371186,ID1,HSPA5
85,0.013736021,ID2,HSPA5
86,0.011548861,ID3,HSPA5
87,0.0030580221,ID4,HSPA5
88,0.015995804,JUN,HSPA5
93,0.049720436,RPS27,HSPA5
94,0.013193349,RPL10,HSPA5
96,0.011008757,ID1,HSP90B1
97,0.011010414,ID2,HSP90B1
98,0.005176936,ID3,HSP90B1
99,0.009508888,ID4,HSP90B1
100,0.017009594,JUN,HSP90B1
103,0.0149150975,HSPA5,HSP90B1
105,0.03941386,RPS27,HSP90B1
106,0.005663331,RPL10,HSP90B1
129,0.03399795,RPS27,RPL10
132,0.005524345,ID1,EEF1A1
133,0.02023502,ID2,EEF1A1
134,0.015231676,ID3,EEF1A1
135,0.007883076,ID4,EEF1A1
136,0.04242521,JUN,EEF1A1
137,0.008157798,FOS,EEF1A1
138,0.014016038,FOSB,EEF1A1
139,0.023850184,HSPA5,EEF1A1
140,0.010594584,HSP90B1,EEF1A1
141,0.03667653,RPS27,EEF1A1
142,0.017520433,RPL10,EEF1A1
