,LRP,source_gene,target_gene
1,0.020296503,ID2,ID1
2,0.008266187,ID3,ID1
3,0.004613598,ID4,ID1
4,0.035741363,JUN,ID1
9,0.015196199,RPS27,ID1
10,0.01971334,RPL10,ID1
14,0.0415451,ID3,ID2
15,0.030584605,ID4,ID2
16,0.03113137,JUN,ID2
21,0.028204467,RPS27,ID2
22,0.058396798,RPL10,ID2
27,0.025732165,ID4,ID3
28,0.04239979,JUN,ID3
33,0.033156782,RPS27,ID3
34,0.0326736,RPL10,ID3
40,0.036448225,JUN,ID4
45,0.026147163,RPS27,ID4
46,0.021369003,RPL10,ID4
57,0.026398063,RPS27,JUN
58,0.043902297,RPL10,JUN
60,0.01606346,ID1,FOS
61,0.02763185,ID2,FOS
62,0.009624659,ID3,FOS
63,0.019114222,ID4,FOS
64,0.05639365,JUN,FOS
66,0.030529408,FOSB,FOS
67,0.004597096,HSPA5,FOS
68,0.01197529,HSP90B1,FOS
69,0.0371011,RPS27,FOS
70,0.024154037,RPL10,FOS
72,0.030772194,ID1,FOSB
73,0.04078906,ID2,FOSB
74,0.018298881,ID3,FOSB
75,0.023074677,ID4,FOSB
76,0.073726885,JUN,FOSB
79,0.008012606,HSPA5,FOSB
80,0.010110481,HSP90B1,FOSB
81,0.027608084,RPS27,FOSB
82,0.06532239,RPL10,FOSB
84,0.019972963,ID1,HSPA5
85,0.0045261364,ID2,HSPA5
86,0.001649849,ID3,HSPA5
87,0.006774633,ID4,HSPA5
88,0.010816215,JUN,HSPA5
93,0.010216949,RPS27,HSPA5
94,0.011952683,RPL10,HSPA5
96,0.008032401,ID1,HSP90B1
97,0.0056632617,ID2,HSP90B1
98,0.0071192356,ID3,HSP90B1
99,0.008308876,ID4,HSP90B1
100,0.028198408,JUN,HSP90B1
103,0.0050917407,HSPA5,HSP90B1
105,0.010240944,RPS27,HSP90B1
106,0.008870987,RPL10,HSP90B1
129,0.057261597,RPS27,RPL10
132,0.0077566956,ID1,EEF1A1
133,0.016659185,ID2,EEF1A1
134,0.020416262,ID3,EEF1A1
135,0.008756779,ID4,EEF1A1
136,0.039657343,JUN,EEF1A1
137,0.0013775405,FOS,EEF1A1
138,0.0065606907,FOSB,EEF1A1
139,0.006480613,HSPA5,EEF1A1
140,0.005334722,HSP90B1,EEF1A1
141,0.032893494,RPS27,EEF1A1
142,0.04934835,RPL10,EEF1A1
