,LRP,source_gene,target_gene
1,0.01829621,ID2,ID1
2,0.0054458124,ID3,ID1
3,0.008023134,ID4,ID1
4,0.024526693,JUN,ID1
9,0.013605023,RPS27,ID1
10,0.024879884,RPL10,ID1
14,0.033238754,ID3,ID2
15,0.028533395,ID4,ID2
16,0.023008892,JUN,ID2
21,0.028357223,RPS27,ID2
22,0.06342138,RPL10,ID2
27,0.02440619,ID4,ID3
28,0.033402286,JUN,ID3
33,0.02823382,RPS27,ID3
34,0.046322607,RPL10,ID3
40,0.020680048,JUN,ID4
45,0.025922537,RPS27,ID4
46,0.02940982,RPL10,ID4
57,0.0025378005,RPS27,JUN
58,0.061987974,RPL10,JUN
60,0.021334577,ID1,FOS
61,0.04089779,ID2,FOS
62,0.010084376,ID3,FOS
63,0.013189344,ID4,FOS
64,0.056625955,JUN,FOS
66,0.031629603,FOSB,FOS
67,0.023960507,HSPA5,FOS
68,0.009388642,HSP90B1,FOS
69,0.02126933,RPS27,FOS
70,0.0383527,RPL10,FOS
72,0.016658083,ID1,FOSB
73,0.034709573,ID2,FOSB
74,0.020016355,ID3,FOSB
75,0.013796825,ID4,FOSB
76,0.050578047,JUN,FOSB
79,0.028777897,HSPA5,FOSB
80,0.008766368,HSP90B1,FOSB
81,0.02613835,RPS27,FOSB
82,0.045839928,RPL10,FOSB
84,0.01977297,ID1,HSPA5
85,0.015273559,ID2,HSPA5
86,0.041489005,ID3,HSPA5
87,0.009906776,ID4,HSPA5
88,0.011393334,JUN,HSPA5
93,0.015579477,RPS27,HSPA5
94,0.010068708,RPL10,HSPA5
96,0.0043101474,ID1,HSP90B1
97,0.003911917,ID2,HSP90B1
98,0.020289708,ID3,HSP90B1
99,0.009106062,ID4,HSP90B1
100,0.026187543,JUN,HSP90B1
103,0.026732516,HSPA5,HSP90B1
105,0.0074413326,RPS27,HSP90B1
106,0.028580565,RPL10,HSP90B1
129,0.054308496,RPS27,RPL10
132,0.011391683,ID1,EEF1A1
133,0.02938477,ID2,EEF1A1
134,0.031547412,ID3,EEF1A1
135,0.00920658,ID4,EEF1A1
136,0.021734087,JUN,EEF1A1
137,0.016427444,FOS,EEF1A1
138,0.029499484,FOSB,EEF1A1
139,0.0066852868,HSPA5,EEF1A1
140,0.011936655,HSP90B1,EEF1A1
141,0.0243639,RPS27,EEF1A1
142,0.062071256,RPL10,EEF1A1
