,LRP,source_gene,target_gene
1,0.03627923,ID2,ID1
2,0.006709246,ID3,ID1
3,0.012636296,ID4,ID1
4,0.043102622,JUN,ID1
9,0.0032775789,RPS27,ID1
10,0.0072917254,RPL10,ID1
14,0.037444223,ID3,ID2
15,0.03483351,ID4,ID2
16,0.063843206,JUN,ID2
21,0.007823021,RPS27,ID2
22,0.023558985,RPL10,ID2
27,0.014639625,ID4,ID3
28,0.04374864,JUN,ID3
33,0.007728325,RPS27,ID3
34,0.007545834,RPL10,ID3
40,0.061336525,JUN,ID4
45,0.0099484995,RPS27,ID4
46,0.008030866,RPL10,ID4
57,0.010012828,RPS27,JUN
58,0.024640143,RPL10,JUN
60,0.020156184,ID1,FOS
61,0.031699277,ID2,FOS
62,0.017524883,ID3,FOS
63,0.016055517,ID4,FOS
64,0.053951867,JUN,FOS
66,0.043667085,FOSB,FOS
67,0.011266953,HSPA5,FOS
68,0.018400192,HSP90B1,FOS
69,0.006276617,RPS27,FOS
70,0.0061763935,RPL10,FOS
72,0.0056535425,ID1,FOSB
73,0.04210765,ID2,FOSB
74,0.017337896,ID3,FOSB
75,0.0040011224,ID4,FOSB
76,0.07851587,JUN,FOSB
79,0.019507522,HSPA5,FOSB
80,0.008011086,HSP90B1,FOSB
81,0.018673725,RPS27,FOSB
82,0.008847533,RPL10,FOSB
84,0.023023577,ID1,HSPA5
85,0.029619701,ID2,HSPA5
86,0.028479734,ID3,HSPA5
87,0.007540466,ID4,HSPA5
88,0.014028074,JUN,HSPA5
93,0.016200257,RPS27,HSPA5
94,0.016413625,RPL10,HSPA5
96,0.00791565,ID1,HSP90B1
97,0.018229492,ID2,HSP90B1
98,0.0320622,ID3,HSP90B1
99,0.008920459,ID4,HSP90B1
100,0.037758358,JUN,HSP90B1
103,0.027351342,HSPA5,HSP90B1
105,0.023076087,RPS27,HSP90B1
106,0.012557346,RPL10,HSP90B1
129,0.0068397294,RPS27,RPL10
132,0.023328066,ID1,EEF1A1
133,0.024085555,ID2,EEF1A1
134,0.012723459,ID3,EEF1A1
135,0.010447089,ID4,EEF1A1
136,0.015489927,JUN,EEF1A1
137,0.017805051,FOS,EEF1A1
138,0.022866465,FOSB,EEF1A1
139,0.009361154,HSPA5,EEF1A1
140,0.015799211,HSP90B1,EEF1A1
141,0.0111837825,RPS27,EEF1A1
142,0.012020592,RPL10,EEF1A1
