,LRP,source_gene,target_gene
1,0.018675238,ID2,ID1
2,0.01744197,ID3,ID1
3,0.012366267,ID4,ID1
4,0.014303234,JUN,ID1
9,0.010358767,RPS27,ID1
10,0.021437952,RPL10,ID1
14,0.030020416,ID3,ID2
15,0.050273556,ID4,ID2
16,0.042952567,JUN,ID2
21,0.045324318,RPS27,ID2
22,0.030445322,RPL10,ID2
27,0.03827826,ID4,ID3
28,0.024065234,JUN,ID3
33,0.026988324,RPS27,ID3
34,0.02452793,RPL10,ID3
40,0.0065816464,JUN,ID4
45,0.035818137,RPS27,ID4
46,0.018963272,RPL10,ID4
57,0.019411085,RPS27,JUN
58,0.008045616,RPL10,JUN
60,0.102254584,ID1,FOS
61,0.068093404,ID2,FOS
62,0.027675554,ID3,FOS
63,0.08024237,ID4,FOS
64,0.106807694,JUN,FOS
66,0.13329841,FOSB,FOS
67,0.028634263,HSPA5,FOS
68,0.016295666,HSP90B1,FOS
69,0.05036717,RPS27,FOS
70,0.057098944,RPL10,FOS
72,0.039429024,ID1,FOSB
73,0.07313624,ID2,FOSB
74,0.071128786,ID3,FOSB
75,0.04851935,ID4,FOSB
76,0.07098107,JUN,FOSB
79,0.022890897,HSPA5,FOSB
80,0.006202601,HSP90B1,FOSB
81,0.06378958,RPS27,FOSB
82,0.053968187,RPL10,FOSB
84,0.02202196,ID1,HSPA5
85,0.041626025,ID2,HSPA5
86,0.04074562,ID3,HSPA5
87,0.01322946,ID4,HSPA5
88,0.026269343,JUN,HSPA5
93,0.020802446,RPS27,HSPA5
94,0.048140686,RPL10,HSPA5
96,0.010096038,ID1,HSP90B1
97,0.010809873,ID2,HSP90B1
98,0.0120685855,ID3,HSP90B1
99,0.0027927696,ID4,HSP90B1
100,0.01876643,JUN,HSP90B1
103,0.023337098,HSPA5,HSP90B1
105,0.008344654,RPS27,HSP90B1
106,0.006005592,RPL10,HSP90B1
129,0.0350301,RPS27,RPL10
132,0.0073690624,ID1,EEF1A1
133,0.024709087,ID2,EEF1A1
134,0.028810604,ID3,EEF1A1
135,0.033631843,ID4,EEF1A1
136,0.013051271,JUN,EEF1A1
137,0.033674713,FOS,EEF1A1
138,0.073381804,FOSB,EEF1A1
139,0.03920278,HSPA5,EEF1A1
140,0.0029615276,HSP90B1,EEF1A1
141,0.021639017,RPS27,EEF1A1
142,0.05925951,RPL10,EEF1A1
