,LRP,source_gene,target_gene
1,0.018973501,ID2,ID1
2,0.015343698,ID3,ID1
3,0.009832382,ID4,ID1
4,0.031307433,JUN,ID1
9,0.009538261,RPS27,ID1
10,0.0076484797,RPL10,ID1
14,0.03385832,ID3,ID2
15,0.03393013,ID4,ID2
16,0.029726595,JUN,ID2
21,0.0015533713,RPS27,ID2
22,0.019393487,RPL10,ID2
27,0.02082766,ID4,ID3
28,0.031080723,JUN,ID3
33,0.011559745,RPS27,ID3
34,0.02111845,RPL10,ID3
40,0.03210889,JUN,ID4
45,0.008470573,RPS27,ID4
46,0.013911085,RPL10,ID4
57,0.017201422,RPS27,JUN
58,0.021144725,RPL10,JUN
60,0.012525093,ID1,FOS
61,0.028397575,ID2,FOS
62,0.0071613193,ID3,FOS
63,0.0229717,ID4,FOS
64,0.046262182,JUN,FOS
66,0.036379524,FOSB,FOS
67,0.0040200884,HSPA5,FOS
68,0.015879385,HSP90B1,FOS
69,0.010877975,RPS27,FOS
70,0.011855831,RPL10,FOS
72,0.0055227843,ID1,FOSB
73,0.030011248,ID2,FOSB
74,0.0053775427,ID3,FOSB
75,0.0031896895,ID4,FOSB
76,0.04878816,JUN,FOSB
79,0.0060312105,HSPA5,FOSB
80,0.0083373785,HSP90B1,FOSB
81,0.015898578,RPS27,FOSB
82,0.010433693,RPL10,FOSB
84,0.00601142,ID1,HSPA5
85,0.004776778,ID2,HSPA5
86,0.013967997,ID3,HSPA5
87,0.004812978,ID4,HSPA5
88,0.01100784,JUN,HSPA5
93,0.0054288753,RPS27,HSPA5
94,0.004982681,RPL10,HSPA5
96,0.011251404,ID1,HSP90B1
97,0.015607523,ID2,HSP90B1
98,0.015835822,ID3,HSP90B1
99,0.02175378,ID4,HSP90B1
100,0.019090667,JUN,HSP90B1
103,0.00029514253,HSPA5,HSP90B1
105,0.0062495205,RPS27,HSP90B1
106,0.0203381,RPL10,HSP90B1
129,0.019111756,RPS27,RPL10
132,0.012773741,ID1,EEF1A1
133,0.012879363,ID2,EEF1A1
134,0.01408796,ID3,EEF1A1
135,0.00555858,ID4,EEF1A1
136,0.023029827,JUN,EEF1A1
137,0.015504921,FOS,EEF1A1
138,0.020038124,FOSB,EEF1A1
139,0.0070804814,HSPA5,EEF1A1
140,0.02121618,HSP90B1,EEF1A1
141,0.0055574668,RPS27,EEF1A1
142,0.016967973,RPL10,EEF1A1
