,LRP,source_gene,target_gene
1,0.0065922383,ID2,ID1
2,0.021493739,ID3,ID1
3,0.0052477173,ID4,ID1
4,0.019733313,JUN,ID1
9,0.00699549,RPS27,ID1
10,0.018005194,RPL10,ID1
14,0.03139667,ID3,ID2
15,0.020330314,ID4,ID2
16,0.022633556,JUN,ID2
21,0.004320643,RPS27,ID2
22,0.04787557,RPL10,ID2
27,0.027442083,ID4,ID3
28,0.00961461,JUN,ID3
33,0.0054300493,RPS27,ID3
34,0.04423465,RPL10,ID3
40,0.005100432,JUN,ID4
45,0.0075730337,RPS27,ID4
46,0.021248616,RPL10,ID4
57,0.0064649032,RPS27,JUN
58,0.024660815,RPL10,JUN
60,0.036890596,ID1,FOS
61,0.025181333,ID2,FOS
62,0.01474866,ID3,FOS
63,0.010417526,ID4,FOS
64,0.0055820327,JUN,FOS
66,0.04051328,FOSB,FOS
67,0.0046476424,HSPA5,FOS
68,0.008470711,HSP90B1,FOS
69,0.003572694,RPS27,FOS
70,0.030909006,RPL10,FOS
72,0.02615144,ID1,FOSB
73,0.030330949,ID2,FOSB
74,0.02432649,ID3,FOSB
75,0.016340377,ID4,FOSB
76,0.023083586,JUN,FOSB
79,0.0047075953,HSPA5,FOSB
80,0.005834203,HSP90B1,FOSB
81,0.005308706,RPS27,FOSB
82,0.050016165,RPL10,FOSB
84,0.011559014,ID1,HSPA5
85,0.0031550217,ID2,HSPA5
86,0.0027366322,ID3,HSPA5
87,0.003347267,ID4,HSPA5
88,0.0065229377,JUN,HSPA5
93,0.007046024,RPS27,HSPA5
94,0.010194007,RPL10,HSPA5
96,0.015537933,ID1,HSP90B1
97,0.0032365595,ID2,HSP90B1
98,0.01264256,ID3,HSP90B1
99,0.009715557,ID4,HSP90B1
100,0.0065329815,JUN,HSP90B1
103,0.0080167325,HSPA5,HSP90B1
105,0.006057013,RPS27,HSP90B1
106,0.030687574,RPL10,HSP90B1
129,0.037899338,RPS27,RPL10
132,0.014587153,ID1,EEF1A1
133,0.017338084,ID2,EEF1A1
134,0.022148257,ID3,EEF1A1
135,0.009610192,ID4,EEF1A1
136,0.0053788885,JUN,EEF1A1
137,0.010160388,FOS,EEF1A1
138,0.015634177,FOSB,EEF1A1
139,0.007285204,HSPA5,EEF1A1
140,0.0095016165,HSP90B1,EEF1A1
141,0.004226235,RPS27,EEF1A1
142,0.054751266,RPL10,EEF1A1
