,LRP,source_gene,target_gene
1,0.015496004,ID2,ID1
2,0.017378164,ID3,ID1
3,0.0042823134,ID4,ID1
4,0.04934048,JUN,ID1
9,0.017823664,RPS27,ID1
10,0.02446824,RPL10,ID1
14,0.035626184,ID3,ID2
15,0.029169554,ID4,ID2
16,0.047951244,JUN,ID2
21,0.05599286,RPS27,ID2
22,0.07139313,RPL10,ID2
27,0.02183097,ID4,ID3
28,0.056173988,JUN,ID3
33,0.04162951,RPS27,ID3
34,0.04611187,RPL10,ID3
40,0.04992315,JUN,ID4
45,0.047471415,RPS27,ID4
46,0.031101523,RPL10,ID4
57,0.037765197,RPS27,JUN
58,0.1024698,RPL10,JUN
60,0.015723694,ID1,FOS
61,0.03420184,ID2,FOS
62,0.023601625,ID3,FOS
63,0.02732374,ID4,FOS
64,0.10346912,JUN,FOS
66,0.1039841,FOSB,FOS
67,0.014690481,HSPA5,FOS
68,0.006995858,HSP90B1,FOS
69,0.05010367,RPS27,FOS
70,0.057310473,RPL10,FOS
72,0.020460527,ID1,FOSB
73,0.052959964,ID2,FOSB
74,0.0436776,ID3,FOSB
75,0.04345169,ID4,FOSB
76,0.15345281,JUN,FOSB
79,0.036937572,HSPA5,FOSB
80,0.0048570847,HSP90B1,FOSB
81,0.059571873,RPS27,FOSB
82,0.06328894,RPL10,FOSB
84,0.022800894,ID1,HSPA5
85,0.01982259,ID2,HSPA5
86,0.033759877,ID3,HSPA5
87,0.020566732,ID4,HSPA5
88,0.003531285,JUN,HSPA5
93,0.0070778867,RPS27,HSPA5
94,0.006231311,RPL10,HSPA5
96,0.0048956275,ID1,HSP90B1
97,0.0064616436,ID2,HSP90B1
98,0.008602296,ID3,HSP90B1
99,0.00790113,ID4,HSP90B1
100,0.05050619,JUN,HSP90B1
103,0.015335408,HSPA5,HSP90B1
105,0.008470282,RPS27,HSP90B1
106,0.04146412,RPL10,HSP90B1
129,0.08209129,RPS27,RPL10
132,0.0077852146,ID1,EEF1A1
133,0.022103472,ID2,EEF1A1
134,0.015127785,ID3,EEF1A1
135,0.0032793721,ID4,EEF1A1
136,0.008878494,JUN,EEF1A1
137,0.009658003,FOS,EEF1A1
138,0.011722389,FOSB,EEF1A1
139,0.011744484,HSPA5,EEF1A1
140,0.0022119184,HSP90B1,EEF1A1
141,0.05692828,RPS27,EEF1A1
142,0.050071713,RPL10,EEF1A1
